Date,Symbols,Close,High,Low,Open,Volume
2020-11-03,FB,265.3,270.05,260.88,263.16,17961859
2020-11-03,PFE,35.821999999999996,36.247,35.713,36.059,20739192
2020-11-02,AMZN,3004.48,3079.705,2950.12,3061.74,7257350
2020-11-02,GOOGL,1624.32,1658.24,1614.24,1623.54,2211449
2020-11-02,FB,261.36,270.47,257.34,264.6,27165679
2020-11-02,PFE,35.861,35.881,35.178000000000004,35.564,20541775
2020-10-30,AMZN,3036.15,3167.0040000000004,3019.0,3157.75,8396081
2020-10-30,GOOGL,1616.11,1681.315,1601.57,1667.44,4996197
2020-10-30,FB,263.11,276.7,259.1,274.5,47299002
2020-10-30,PFE,35.119,35.173,34.485,34.881,24585042
2020-10-29,AMZN,3211.01,3257.25,3164.0,3201.27,6596529
2020-10-29,GOOGL,1556.88,1588.735,1516.55,1517.02,2770343
2020-10-29,FB,280.83,283.6,273.78,276.55,32368118
2020-10-29,PFE,34.921,35.277,34.248000000000005,35.119,26402871
2020-10-28,AMZN,3162.78,3264.02,3162.47,3249.3,5588330
2020-10-28,GOOGL,1510.8,1553.81,1508.48,1550.01,2258675
2020-10-28,FB,267.67,278.79,267.26,278.79,23121808
2020-10-28,PFE,35.089,36.751999999999995,34.96,36.425,32453224
2020-10-27,AMZN,3286.33,3291.66,3211.3,3224.94,4291047
2020-10-27,GOOGL,1598.88,1602.0,1576.99,1588.9319,1295138
2020-10-27,FB,283.29,284.51,276.31,278.76,16287249
2020-10-27,PFE,37.049,37.732,36.495,36.663000000000004,35323099
2020-10-26,AMZN,3207.04,3282.9799,3153.3,3198.74,5901151
2020-10-26,GOOGL,1584.29,1629.58,1567.78,1615.0,1791317
2020-10-26,FB,277.11,285.23,274.26,283.16,21322925
2020-10-26,PFE,37.534,37.633,37.098,37.485,32381934
2020-10-23,AMZN,3204.4,3205.33,3140.0,3191.0,3466687
2020-10-23,GOOGL,1632.98,1634.12,1611.91,1615.05,1527402
2020-10-23,FB,284.79,285.24,276.82,278.8024,17535155
2020-10-23,PFE,37.791,37.895,37.264,37.544000000000004,29290487
2020-10-22,AMZN,3176.4,3198.75,3121.94,3189.87,4212005
2020-10-22,GOOGL,1606.66,1613.42,1577.48,1585.0,1525773
2020-10-22,FB,278.12,282.45,275.04,279.87,16720026
2020-10-22,PFE,37.049,37.188,36.653,36.703,18445482
2020-10-21,AMZN,3184.94,3233.875,3160.0,3212.5,4592736
2020-10-21,GOOGL,1585.99,1615.14,1567.135,1569.85,3016053
2020-10-21,FB,278.73,283.05,276.37,279.56,28998638
2020-10-21,PFE,36.703,37.069,36.683,36.975,18197488
2020-10-20,AMZN,3217.01,3266.0,3192.01,3222.28,4509678
2020-10-20,GOOGL,1551.08,1573.84,1520.5,1523.11,2085915
2020-10-20,FB,267.56,269.7,262.88,263.06,18763246
2020-10-20,PFE,37.108000000000004,37.504,36.97,37.485,21456424
2020-10-19,AMZN,3207.21,3329.0,3192.735,3299.61,5223626
2020-10-19,GOOGL,1529.95,1583.925,1522.92,1575.93,1486652
2020-10-19,FB,261.4,268.55,259.88,265.53,13586955
2020-10-19,PFE,37.415,38.452,37.257,38.029,30606931
2020-10-16,AMZN,3272.71,3399.6606,3160.0,3363.23,6474353
2020-10-16,GOOGL,1567.7,1577.71,1557.66,1561.83,1710325
2020-10-16,FB,265.93,271.37,265.3,267.375,16622702
2020-10-16,PFE,37.564,37.732,36.643,36.693000000000005,41210271
2020-10-15,AMZN,3338.65,3355.88,3280.0,3292.01,5223448
2020-10-15,GOOGL,1555.47,1571.395,1541.1301,1544.5,1561485
2020-10-15,FB,266.72,269.04,263.67,267.6,15416064
2020-10-15,PFE,36.178000000000004,36.366,36.039,36.257,15429572
2020-10-14,AMZN,3363.71,3464.88,3340.0,3447.0,5828916
2020-10-14,GOOGL,1563.44,1583.85,1545.895,1573.31,1659228
2020-10-14,FB,271.82,278.75,271.5,277.62,15601154
2020-10-14,PFE,36.485,36.92,36.198,36.633,21207003
2020-10-13,AMZN,3443.63,3492.38,3424.217,3467.99,5744697
2020-10-13,GOOGL,1567.07,1585.16,1558.63,1577.01,1953609
2020-10-13,FB,276.14,279.1,273.39,277.58,18063343
2020-10-13,PFE,36.524,36.747,36.257,36.297,20649665
2020-10-12,AMZN,3442.93,3496.24,3339.55,3349.94,8364198
2020-10-12,GOOGL,1564.59,1588.42,1529.3,1538.0,2767164
2020-10-12,FB,275.75,280.18,267.87,270.2,31019256
2020-10-12,PFE,36.445,36.802,36.094,36.326,18608662
2020-10-09,AMZN,3286.65,3288.99,3197.83,3210.0,4907871
2020-10-09,GOOGL,1510.45,1511.85,1487.0,1492.86,1648340
2020-10-09,FB,264.45,264.75,262.17,264.52,14107803
2020-10-09,PFE,36.415,36.74,36.218,36.455,22685807
2020-10-08,AMZN,3190.55,3233.2944,3174.99,3224.99,3174114
2020-10-08,GOOGL,1483.43,1488.0275,1465.45,1465.45,1303802
2020-10-08,FB,263.76,264.62,259.1488,259.75,16312762
2020-10-08,PFE,36.514,36.802,36.138000000000005,36.227,17116773
2020-10-07,AMZN,3195.69,3200.0,3132.385,3135.0,4309439
2020-10-07,GOOGL,1459.14,1468.97,1433.23,1459.31,1805448
2020-10-07,FB,258.12,260.18,254.82,259.21,23133417
2020-10-07,PFE,36.099000000000004,36.218,35.663000000000004,35.891,21240927
2020-10-06,AMZN,3099.96,3182.0,3090.0,3165.0,5086857
2020-10-06,GOOGL,1451.02,1484.52,1445.01,1475.5,1304752
2020-10-06,FB,258.66,265.69,258.24,261.78,18696917
2020-10-06,PFE,35.802,36.653,35.723,36.623000000000005,24186841
2020-10-05,AMZN,3199.2,3202.53,3140.85,3145.84,3775332
2020-10-05,GOOGL,1482.83,1484.7,1460.09,1462.65,1080058
2020-10-05,FB,264.65,264.865,260.8401,262.2,12822252
2020-10-05,PFE,36.376,36.505,35.97,36.158,18595396
2020-10-02,AMZN,3125.0,3195.7965,3123.0,3153.63,5613098
2020-10-02,GOOGL,1455.6,1479.03,1447.35,1459.63,1561132
2020-10-02,FB,259.94,265.15,259.18,261.21,16367597
2020-10-02,PFE,36.01,36.287,35.663000000000004,35.693000000000005,20571573
2020-10-01,AMZN,3221.26,3224.0,3172.0,3208.0,4971922
2020-10-01,GOOGL,1487.9,1495.07,1476.8,1483.6608,1644221
2020-10-01,FB,266.63,268.33,264.8,265.35,20009801
2020-10-01,PFE,36.0,36.711999999999996,35.795,36.534,21586298
2020-09-30,AMZN,3148.73,3212.88,3133.99,3141.14,4896101
2020-09-30,GOOGL,1465.6,1486.1975,1455.755,1460.935,2046170
2020-09-30,FB,261.9,266.085,260.1,261.98,20142546
2020-09-30,PFE,36.326,36.583,35.881,35.900999999999996,21690709
2020-09-29,AMZN,3144.88,3188.26,3132.54,3175.39,3503398
2020-09-29,GOOGL,1466.02,1472.0,1454.0,1463.91,1591112
2020-09-29,FB,261.79,263.33,256.9,257.81,20215504
2020-09-29,PFE,35.802,36.168,35.668,36.059,12969632
2020-09-28,AMZN,3174.05,3175.04,3117.1684,3148.85,4224165
2020-09-28,GOOGL,1458.66,1472.99,1446.28,1471.99,1539236
2020-09-28,FB,256.82,259.6,254.8208,259.4,18826254
2020-09-28,PFE,36.02,36.203,35.792,35.792,14420306
2020-09-25,AMZN,3095.13,3101.54,2999.0,3054.86,4615202
2020-09-25,GOOGL,1439.06,1445.94,1407.68,1425.05,1516677
2020-09-25,FB,254.82,255.75,246.61,249.4,18351311
2020-09-25,PFE,35.683,35.782,35.158,35.178000000000004,13769795
2020-09-24,AMZN,3019.79,3069.3,2965.0,2977.79,5529392
2020-09-24,GOOGL,1422.86,1437.99,1402.15,1402.68,1727611
2020-09-24,FB,249.53,252.24,245.62,246.5,20006750
2020-09-24,PFE,35.396,35.673,35.178000000000004,35.584,19994694
2020-09-23,AMZN,2999.86,3126.9990000000003,2992.3759,3120.43,5652665
2020-09-23,GOOGL,1409.39,1453.08,1402.68,1452.09,1886299
2020-09-23,FB,249.02,257.9921,248.15,255.26,19641266
2020-09-23,PFE,35.634,36.008,35.599000000000004,35.97,22144301
2020-09-22,AMZN,3128.99,3133.99,3000.2,3033.835,6948816
2020-09-22,GOOGL,1459.82,1463.97,1429.495,1450.32,1697542
2020-09-22,FB,254.75,255.32,248.22,253.31,30293103
2020-09-22,PFE,35.881,35.96,35.376,35.445,21784617
2020-09-21,AMZN,2960.47,2962.0,2871.0,2906.5,6117925
2020-09-21,GOOGL,1430.14,1440.06,1402.68,1431.62,2845405
2020-09-21,FB,248.15,249.95,244.13,247.54,24709378
2020-09-21,PFE,35.653,36.109,35.015,36.0,25505288
2020-09-18,AMZN,2954.91,3037.8,2905.54,3031.74,8892580
2020-09-18,GOOGL,1451.09,1495.2,1431.62,1488.3,3152788
2020-09-18,FB,252.53,259.2,250.05,258.405,28130767
2020-09-18,PFE,36.257,36.693000000000005,36.198,36.406,30380080
2020-09-17,AMZN,3008.73,3029.4320000000002,2972.55,3009.25,6449050
2020-09-17,GOOGL,1487.04,1498.66,1462.46,1485.81,2000356
2020-09-17,FB,254.82,261.5,250.19,258.28,31281441
2020-09-17,PFE,36.445,36.594,36.178000000000004,36.406,17152206
2020-09-16,AMZN,3078.1,3187.238,3074.15,3179.99,4531189
2020-09-16,GOOGL,1512.09,1554.37,1511.59,1542.48,1107169
2020-09-16,FB,263.52,272.44,261.79,267.29,29207594
2020-09-16,PFE,36.406,36.93,36.346,36.900999999999996,21323010
2020-09-15,AMZN,3156.13,3175.02,3108.92,3136.16,4021535
2020-09-15,GOOGL,1535.12,1550.99,1522.1,1527.89,1152055
2020-09-15,FB,272.42,274.52,269.3,270.67,18478530
2020-09-15,PFE,36.584,36.97,36.435,36.811,21091128
2020-09-14,AMZN,3102.97,3187.39,3096.0,3172.9372,4529596
2020-09-14,GOOGL,1508.83,1557.0,1505.11,1531.6471,2133007
2020-09-14,FB,266.15,276.64,265.7,270.95,24093830
2020-09-14,PFE,36.633,37.156,35.911,35.99,28339316
2020-09-11,AMZN,3116.22,3217.3409,3083.98,3208.69,5093982
2020-09-11,GOOGL,1515.76,1538.695,1493.02,1528.15,1535337
2020-09-11,FB,266.61,271.39,262.64,270.06,18913883
2020-09-11,PFE,35.703,35.742,35.089,35.376,23109312
2020-09-10,AMZN,3175.11,3349.89,3170.55,3307.2188,5330741
2020-09-10,GOOGL,1526.05,1573.66,1520.0,1550.18,1651194
2020-09-10,FB,268.09,279.16,267.0319,275.51,24814669
2020-09-10,PFE,35.287,35.95,35.221,35.832,20752710
2020-09-09,AMZN,3268.61,3303.175,3185.0,3202.99,5188675
2020-09-09,GOOGL,1547.23,1558.72,1525.17,1548.9,1962078
2020-09-09,FB,273.72,278.48,271.35,275.77,22918769
2020-09-09,PFE,35.812,36.277,35.772,35.921,26350346
2020-09-08,AMZN,3149.84,3250.845,3130.0,3144.0,6094205
2020-09-08,GOOGL,1523.6,1555.55,1516.5,1525.0,2701586
2020-09-08,FB,271.16,279.3,269.42,271.28,24863997
2020-09-08,PFE,35.564,36.236999999999995,35.317,36.158,25627829
2020-09-04,AMZN,3294.62,3381.5,3111.13,3318.0,8781754
2020-09-04,GOOGL,1581.21,1634.99,1537.9701,1609.0,2792533
2020-09-04,FB,282.73,289.0,271.14,287.25,30333671
2020-09-04,PFE,35.99,36.257,35.505,36.119,25757683
2020-09-03,AMZN,3368.0,3488.41,3303.0,3485.0,8161113
2020-09-03,GOOGL,1629.51,1700.0,1607.71,1699.52,3186287
2020-09-03,FB,291.12,297.6,283.63,295.99,32294092
2020-09-03,PFE,36.029,37.108000000000004,35.733000000000004,36.99,34465423
2020-09-02,AMZN,3531.45,3552.25,3486.685,3547.0,3931476
2020-09-02,GOOGL,1717.39,1726.1022,1660.19,1668.01,2476072
2020-09-02,FB,302.5,303.6,293.05,298.88,24341369
2020-09-02,PFE,36.821,36.92,36.029,36.396,27863071
2020-09-01,AMZN,3499.12,3513.87,3467.0,3489.58,3476407
2020-09-01,GOOGL,1655.08,1659.22,1629.53,1632.16,1133766
2020-09-01,FB,295.44,301.49,292.71,294.71,17320872
2020-09-01,PFE,36.505,37.435,36.138000000000005,37.405,34661589
2020-08-31,AMZN,3450.96,3495.0,3405.0,3408.99,4185885
2020-08-31,GOOGL,1629.53,1644.5,1625.33,1643.57,1321097
2020-08-31,FB,293.2,296.88,291.55,293.95,17345134
2020-08-31,PFE,37.405,37.633,37.118,37.455,28786830
2020-08-28,AMZN,3401.8,3433.3699,3386.5,3423.0,2896978
2020-08-28,GOOGL,1639.43,1641.35,1625.605,1629.47,1121195
2020-08-28,FB,293.66,297.23,290.98,295.0,17172415
2020-08-28,PFE,37.524,37.673,37.019,37.485,31468836
2020-08-27,AMZN,3400.0,3453.0,3378.0,3450.05,4264795
2020-08-27,GOOGL,1628.52,1647.99,1618.8137,1646.61,1567503
2020-08-27,FB,293.22,301.23,292.02,300.16,30301309
2020-08-27,PFE,37.475,37.613,37.296,37.574,21237617
2020-08-26,AMZN,3441.85,3451.7387,3344.5675,3351.11,6508743
2020-08-26,GOOGL,1644.13,1652.79,1600.9754,1606.3,2609363
2020-08-26,FB,303.91,304.67,284.0,284.0,69015151
2020-08-26,PFE,37.663000000000004,37.88,37.277,37.801,23084780
2020-08-25,AMZN,3346.49,3357.4,3267.0,3294.99,3992842
2020-08-25,GOOGL,1605.85,1608.88,1577.88,1580.1,1257463
2020-08-25,FB,280.82,283.09,270.2601,272.41,42127240
2020-08-25,PFE,38.019,38.167,37.564,38.118,25133654
2020-08-24,AMZN,3307.46,3380.315,3257.5608,3310.15,4666258
2020-08-24,GOOGL,1585.15,1608.78,1575.04,1592.47,1281893
2020-08-24,FB,271.39,277.2478,268.7701,271.07,23685603
2020-08-24,PFE,38.445,38.643,38.148,38.623000000000005,23974534
2020-08-21,AMZN,3284.72,3314.3962,3275.39,3295.0,3575862
2020-08-21,GOOGL,1575.57,1591.88,1562.31,1571.8,1742275
